Fantasy_Football_2025_Draft
RK,PLAYER NAME,TEAM,POS,BYE
407,Josh Oliver,MIN,TE54,6
408,Tank Dell,HOU,WR142,6
409,Jacob Cowing,SF,WR143,14
410,Kalif Raymond,DET,WR144,8
411,Matt Prater,BUF,K27,7
412,Graham Gano,NYG,K28,14
413,Darnell Washington,PIT,TE55,5
414,Grant Calcaterra,PHI,TE56,9
415,Sterling Shepard,TB,WR145,9
416,Spencer Shrader,IND,K29,11
417,New Orleans Saints,NO,DST28,11
418,Elijah Higgins,ARI,TE57,8
419,Andy Borregales,NE,K30,14
420,Eddy Pineiro,SF,K31,14
421,Joe Milton III,DAL,QB43,10
422,Kenny Pickett,LV,QB44,8
423,Jordan Watkins,SF,WR146,14
424,Stone Smartt,NYJ,TE58,9
425,Mitchell Evans,CAR,TE59,14
426,Alec Ingold,MIA,RB118,12
427,Las Vegas Raiders,LV,DST29,8
428,Devontez Walker,BAL,WR147,7
429,Nick Folk,NYJ,K32,9
430,Jacksonville Jaguars,JAC,DST30,8
431,Jeremy Ruckert,NYJ,TE60,9
432,Jimmy Horn Jr.,CAR,WR148,14
433,Jake Bobo,SEA,WR149,8
434,Clyde Edwards-Helaire,KC,RB119,10
435,Jonathan Mingo,DAL,WR150,10
436,Jeff Wilson Jr.,MIA,RB120,12
437,Jonathon Brooks,CAR,RB121,14
438,Colby Parkinson,LAR,TE61,8
439,Ja'Quinden Jackson,JAC,RB122,8
440,Dylan Laube,LV,RB123,8
441,Russell Gage Jr.,SF,WR151,14
442,Sione Vaki,DET,RB124,8
443,Theo Wease Jr.,MIA,WR152,12
444,,,1,-
445,Antwane Wells Jr.,FA,WR153,-
446,Rasheen Ali,BAL,RB125,7
447,Casey Washington,ATL,WR154,5
448,Mason Rudolph,PIT,QB45,5
449,KhaDarel Hodge,ATL,WR155,5
450,Malik Willis,GB,QB46,5
451,Julian Hill,MIA,TE62,12
452,Charles Scott,FA,RB126,-
453,Nathan Carter,ATL,RB127,5
454,Tennessee Titans,TEN,DST31,10
455,Carolina Panthers,CAR,DST32,14
456,Greg Dulcich,MIA,TE63,12
457,Zach Wilson,MIA,QB47,12
458,Hunter Luepke,DAL,RB128,10
459,Zonovan Knight,ARI,RB129,8
460,David Moore,CAR,WR156,14
461,Skyy Moore,SF,WR157,14
462,Robert Woods,FA,WR158,-
463,Javon Baker,PHI,WR159,9
464,Michael Carter,ARI,RB130,8
465,Israel Abanikanda,FA,RB131,-
466,Kene Nwangwu,NYJ,RB132,9
467,Marcus Mariota,WAS,QB48,12
468,Aidan O'Connell,LV,QB49,8
469,Luke Lachey,HOU,TE64,6
470,Hunter Long,JAC,TE65,8
471,Malachi Corley,CLE,WR160,9
472,Jamaal Williams,FA,RB133,-
473,Adam Trautman,DEN,TE66,12
474,Jared Wiley,KC,TE67,10
475,Brock Wright,DET,TE68,8
476,Chris Tyree,NO,WR161,11
477,John Bates,WAS,TE69,12
478,Tyler Johnson,NYJ,WR162,9
479,Kendrick Bourne,SF,WR163,14
480,Cordarrelle Patterson,FA,RB134,-
481,Jalen Brooks,DAL,WR164,10
482,Travis Homer,CHI,RB135,5
483,Deshaun Watson,CLE,QB50,9
484,Drew Sample,CIN,TE70,10
485,Tyrell Shavers,BUF,WR165,7
486,Daniel Bellinger,NYG,TE71,14
487,D'Ernest Johnson,ARI,RB136,8
488,Mitch Tinsley,CIN,WR166,10
489,Trey Lance,LAC,QB51,12
490,Troy Hairston II,FA,RB137,-
491,Ezekiel Elliott,FA,RB138,-
492,Carson Steele,KC,RB139,10
493,Patrick Ricard,BAL,RB140,7
494,Konata Mumpfield,LAR,WR167,8
495,Mecole Hardman Jr.,FA,WR168,-
496,Mac Jones,SF,QB52,14
497,Lucky Jackson,FA,WR169,-
498,Kylen Granson,PHI,TE72,9
499,Thomas Fidone II,NYG,TE73,14
500,Jordan Mims,TEN,RB141,10
501,Payne Durham,TB,TE74,9
502,Zavier Scott,MIN,RB142,6
503,Eric Gray,NYG,RB143,14
504,Marcus Yarns,FA,RB144,-
505,Tanner Hudson,CIN,TE75,10
506,Carson Wentz,MIN,QB53,6
507,Ben Skowronek,PIT,WR170,5
508,Johnny Mundt,JAC,TE76,8
509,Trent Sherfield Sr.,DEN,WR171,12
510,Corey Kiner,MIN,RB145,6
511,Scotty Miller,PIT,WR172,5
512,Ricky White III,SEA,WR173,8
513,DeAndre Carter,CLE,WR174,9
514,Sam Howell,PHI,QB54,9
515,Mason Tipton,NO,WR175,11
516,Josh Williams,TB,RB146,9
517,Harrison Bryant,HOU,TE77,6
518,Charlie Kolar,BAL,TE78,7
519,Charlie Woerner,ATL,TE79,5
520,Jake Browning,CIN,QB55,10
521,Michael Burton,DEN,RB147,12
522,Derius Davis,LAC,WR176,12
523,C.J. Ham,MIN,RB148,6
524,Deuce Vaughn,DEN,RB149,12
525,Beaux Collins,NYG,WR177,14
526,Pierre Strong Jr.,GB,RB150,5
527,Tony Jones Jr.,FA,RB151,-
528,Luke Farrell,SF,TE80,14
529,Josh Whyle,GB,TE81,5
530,Jackson Hawes,BUF,TE82,7
531,Charlie Jones,CIN,WR178,10
532,DeeJay Dallas,CAR,RB152,14
533,Drew Lock,SEA,QB56,8
534,Frank Gore Jr.,BUF,RB153,7
535,Davis Mills,HOU,QB57,6
